DATE,IPB51000N
1983-09-01,70.0902
1983-10-01,69.2511
1983-11-01,68.2078
1983-12-01,68.0596
1984-01-01,71.2477
1984-02-01,70.9772
1984-03-01,71.0767
1984-04-01,69.9206
1984-05-01,68.9777
1984-06-01,70.9513
1984-07-01,68.2818
1984-08-01,70.1579
1984-09-01,70.8049
1984-10-01,70.8371
1984-11-01,69.9405
1984-12-01,69.9819
1985-01-01,71.2141
1985-02-01,71.8923
1985-03-01,71.3607
1985-04-01,69.3889
1985-05-01,69.1610
1985-06-01,71.4976
1985-07-01,68.5483
1985-08-01,71.3065
1985-09-01,72.3430
1985-10-01,71.5399
1985-11-01,70.8690
1985-12-01,71.7434
1986-01-01,74.3715
1986-02-01,73.5729
1986-03-01,72.2399
1986-04-01,72.2117
1986-05-01,71.5993
1986-06-01,73.8602
1986-07-01,71.2246
1986-08-01,73.8642
1986-09-01,74.5289
1986-10-01,74.1854
1986-11-01,73.5221
1986-12-01,74.1747
1987-01-01,75.3361
1987-02-01,76.4218
1987-03-01,76.0968
1987-04-01,73.8205
1987-05-01,74.3937
1987-06-01,77.1393
1987-07-01,74.5130
1987-08-01,78.0236
1987-09-01,77.7199
1987-10-01,78.6026
1987-11-01,77.4221
1987-12-01,77.3933
1988-01-01,79.6815
1988-02-01,79.8636
1988-03-01,79.1805
1988-04-01,77.9758
1988-05-01,77.4755
1988-06-01,80.3021
1988-07-01,77.0377
1988-08-01,80.5860
1988-09-01,80.3598
1988-10-01,80.3517
1988-11-01,79.0607
1988-12-01,79.2291
1989-01-01,80.8516
1989-02-01,81.1414
1989-03-01,80.0132
1989-04-01,79.8836
1989-05-01,77.8401
1989-06-01,80.7740
1989-07-01,75.1948
1989-08-01,80.3456
1989-09-01,80.0277
1989-10-01,79.8741
1989-11-01,78.7932
1989-12-01,80.2767
1990-01-01,79.7666
1990-02-01,80.5128
1990-03-01,80.7977
1990-04-01,78.2614
1990-05-01,78.4050
1990-06-01,82.0370
1990-07-01,78.0516
1990-08-01,81.7814
1990-09-01,82.5622
1990-10-01,80.7687
1990-11-01,78.4358
1990-12-01,77.6907
1991-01-01,79.7639
1991-02-01,78.5882
1991-03-01,77.6469
1991-04-01,77.1252
1991-05-01,77.7657
1991-06-01,81.5743
1991-07-01,77.5864
1991-08-01,81.9464
1991-09-01,82.8122
1991-10-01,82.3250
1991-11-01,80.7061
1991-12-01,79.2744
1992-01-01,80.4021
1992-02-01,81.2325
1992-03-01,81.4682
1992-04-01,80.0219
1992-05-01,80.7964
1992-06-01,82.4962
1992-07-01,79.7625
1992-08-01,84.7162
1992-09-01,83.6642
1992-10-01,84.9196
1992-11-01,83.7867
1992-12-01,83.7907
1993-01-01,85.6564
1993-02-01,85.8921
1993-03-01,85.2117
1993-04-01,82.8587
1993-05-01,82.4185
1993-06-01,84.5346
1993-07-01,82.0215
1993-08-01,86.5513
1993-09-01,85.8245
1993-10-01,86.1130
1993-11-01,85.1862
1993-12-01,85.3554
1994-01-01,87.9406
1994-02-01,87.8673
1994-03-01,87.6729
1994-04-01,85.5011
1994-05-01,85.9968
1994-06-01,89.0294
1994-07-01,84.9581
1994-08-01,91.1095
1994-09-01,90.1236
1994-10-01,90.7093
1994-11-01,89.5480
1994-12-01,90.1473
1995-01-01,91.4995
1995-02-01,91.8752
1995-03-01,91.2892
1995-04-01,87.8103
1995-05-01,87.9838
1995-06-01,91.3969
1995-07-01,87.1024
1995-08-01,93.5702
1995-09-01,93.1225
1995-10-01,91.8699
1995-11-01,91.0441
1995-12-01,91.3700
1996-01-01,92.1439
1996-02-01,93.2733
1996-03-01,92.1947
1996-04-01,90.0380
1996-05-01,89.8169
1996-06-01,93.6633
1996-07-01,89.1369
1996-08-01,94.3403
1996-09-01,94.5852
1996-10-01,93.5510
1996-11-01,93.4668
1996-12-01,92.8963
1997-01-01,95.2126
1997-02-01,95.6110
1997-03-01,95.0090
1997-04-01,93.1896
1997-05-01,92.5934
1997-06-01,94.6699
1997-07-01,91.3339
1997-08-01,98.3869
1997-09-01,98.2253
1997-10-01,99.4812
1997-11-01,98.8657
1997-12-01,97.8103
1998-01-01,99.5187
1998-02-01,99.7886
1998-03-01,100.0743
1998-04-01,96.8151
1998-05-01,97.9251
1998-06-01,98.7298
1998-07-01,95.9417
1998-08-01,103.4792
1998-09-01,100.9899
1998-10-01,101.5321
1998-11-01,99.3800
1998-12-01,98.7812
1999-01-01,102.1702
1999-02-01,102.2961
1999-03-01,102.4742
1999-04-01,98.6369
1999-05-01,100.0055
1999-06-01,101.5578
1999-07-01,96.8651
1999-08-01,104.6040
1999-09-01,101.8055
1999-10-01,103.9008
1999-11-01,102.1262
1999-12-01,102.1743
2000-01-01,103.6017
2000-02-01,104.0520
2000-03-01,103.9735
2000-04-01,101.3330
2000-05-01,101.6361
2000-06-01,105.4650
2000-07-01,100.5609
2000-08-01,106.4074
2000-09-01,105.3451
2000-10-01,103.8732
2000-11-01,102.6532
2000-12-01,102.9526
2001-01-01,104.2279
2001-02-01,103.1987
2001-03-01,103.5147
2001-04-01,99.4377
2001-05-01,100.8537
2001-06-01,104.3624
2001-07-01,99.3537
2001-08-01,105.9974
2001-09-01,103.2306
2001-10-01,102.9744
2001-11-01,101.4471
2001-12-01,101.2782
2002-01-01,104.4222
2002-02-01,104.1380
2002-03-01,104.6813
2002-04-01,102.4314
2002-05-01,102.5654
2002-06-01,107.3047
2002-07-01,101.7747
2002-08-01,108.5233
2002-09-01,106.7496
2002-10-01,105.6316
2002-11-01,103.9044
2002-12-01,102.8230
2003-01-01,106.1902
2003-02-01,107.3439
2003-03-01,107.4616
2003-04-01,102.8602
2003-05-01,103.4258
2003-06-01,106.9409
2003-07-01,102.2841
2003-08-01,109.3752
2003-09-01,107.9593
2003-10-01,106.6217
2003-11-01,105.6351
2003-12-01,105.3849
2004-01-01,107.0167
2004-02-01,108.7085
2004-03-01,107.4453
2004-04-01,104.4897
2004-05-01,105.7257
2004-06-01,107.9207
2004-07-01,103.8195
2004-08-01,110.1446
2004-09-01,107.5963
2004-10-01,108.5134
2004-11-01,106.6250
2004-12-01,107.4772
2005-01-01,109.0284
2005-02-01,109.8354
2005-03-01,108.4108
2005-04-01,107.2619
2005-05-01,107.5440
2005-06-01,112.3247
2005-07-01,108.0280
2005-08-01,114.1192
2005-09-01,111.7305
2005-10-01,111.0241
2005-11-01,108.8987
2005-12-01,110.5703
2006-01-01,109.7040
2006-02-01,109.7688
2006-03-01,110.6497
2006-04-01,107.3354
2006-05-01,108.6273
2006-06-01,113.0260
2006-07-01,108.8213
2006-08-01,115.0272
2006-09-01,111.8893
2006-10-01,110.9856
2006-11-01,109.6243
2006-12-01,110.7739
2007-01-01,110.5029
2007-02-01,112.5052
2007-03-01,111.4179
2007-04-01,108.9039
2007-05-01,109.5019
2007-06-01,113.2109
2007-07-01,108.8300
2007-08-01,114.2078
2007-09-01,111.6208
2007-10-01,109.6638
2007-11-01,108.1711
2007-12-01,108.1865
2008-01-01,108.9753
2008-02-01,108.7677
2008-03-01,106.4519
2008-04-01,104.5116
2008-05-01,103.7006
2008-06-01,107.0743
2008-07-01,104.0921
2008-08-01,106.4590
2008-09-01,103.3609
2008-10-01,102.6969
2008-11-01,100.8175
2008-12-01,100.3441
2009-01-01,98.9945
2009-02-01,98.0734
2009-03-01,97.2895
2009-04-01,93.6257
2009-05-01,93.3576
2009-06-01,95.8131
2009-07-01,95.2072
2009-08-01,99.8713
2009-09-01,98.0565
2009-10-01,97.8388
2009-11-01,96.7769
2009-12-01,97.7282
2010-01-01,99.9045
2010-02-01,98.3837
2010-03-01,98.2688
2010-04-01,94.4146
2010-05-01,96.6460
2010-06-01,99.6018
2010-07-01,97.5794
2010-08-01,101.5668
2010-09-01,98.3314
2010-10-01,98.0389
2010-11-01,96.5367
2010-12-01,99.0182
2011-01-01,100.8736
2011-02-01,99.4167
2011-03-01,99.5821
2011-04-01,96.0346
2011-05-01,96.8132
2011-06-01,100.0890
2011-07-01,98.8715
2011-08-01,102.7789
2011-09-01,99.8395
2011-10-01,99.5920
2011-11-01,98.1856
2011-12-01,99.5223
2012-01-01,100.5830
2012-02-01,99.7084
2012-03-01,98.0654
2012-04-01,95.5783
2012-05-01,96.6087
2012-06-01,99.2480
2012-07-01,97.0647
2012-08-01,100.0059
2012-09-01,97.5882
2012-10-01,96.5983
2012-11-01,96.8003
2012-12-01,97.7836
2013-01-01,99.5954
2013-02-01,99.3674
2013-03-01,99.4611
2013-04-01,96.6836
2013-05-01,96.4174
2013-06-01,99.9309
2013-07-01,96.7711
2013-08-01,100.6924
2013-09-01,99.0707
2013-10-01,98.1884
2013-11-01,97.5247
2013-12-01,99.1528
2014-01-01,100.1210
2014-02-01,100.4644
2014-03-01,101.1567
2014-04-01,96.9185
2014-05-01,97.0442
2014-06-01,100.3780
2014-07-01,97.6562
2014-08-01,101.2530
2014-09-01,99.8245
2014-10-01,98.4181
2014-11-01,99.4224
2014-12-01,100.2452
2015-01-01,102.2978
2015-02-01,102.1195
2015-03-01,102.9686
2015-04-01,98.1699
2015-05-01,98.2330
2015-06-01,101.0939
2015-07-01,100.0682
2015-08-01,103.9720
2015-09-01,101.4547
2015-10-01,100.4887
2015-11-01,99.4439
2015-12-01,99.4393
2016-01-01,103.2583
2016-02-01,102.7317
2016-03-01,100.6694
2016-04-01,99.7406
2016-05-01,98.4995
2016-06-01,102.6034
2016-07-01,99.8032
2016-08-01,103.8678
2016-09-01,101.8864
2016-10-01,100.9498
2016-11-01,98.9739
2016-12-01,102.4875
2017-01-01,102.7152
2017-02-01,100.6880
2017-03-01,101.6707
2017-04-01,97.4729
2017-05-01,98.0888
2017-06-01,100.8370
2017-07-01,97.9825
2017-08-01,101.2321
2017-09-01,99.1984
2017-10-01,99.7985
2017-11-01,99.0123
2017-12-01,101.3037
2018-01-01,103.5217
2018-02-01,101.9830
2018-03-01,102.0516
2018-04-01,99.6988
2018-05-01,96.8314
2018-06-01,100.8609
2018-07-01,98.3779
2018-08-01,102.8753
2018-09-01,100.8619
2018-10-01,99.8570
2018-11-01,99.8611
2018-12-01,100.8663
2019-01-01,102.1444
2019-02-01,102.3579
2019-03-01,102.6219
2019-04-01,96.9554
2019-05-01,97.3506
2019-06-01,101.2602
2019-07-01,98.4503
2019-08-01,102.5952
2019-09-01,100.1723
2019-10-01,98.7206
2019-11-01,99.9284
2019-12-01,100.1535
2020-01-01,101.5257
2020-02-01,103.0832
2020-03-01,97.2243
2020-04-01,81.5643
2020-05-01,85.2731
2020-06-01,96.1603
2020-07-01,98.0028
2020-08-01,102.8501
2020-09-01,98.7873
2020-10-01,98.9733
2020-11-01,97.9953
2020-12-01,101.2036
2021-01-01,104.2638
2021-02-01,102.5650
2021-03-01,102.9449
2021-04-01,98.1175
2021-05-01,98.4600
2021-06-01,101.6807
2021-07-01,99.6310
2021-08-01,103.0493
2021-09-01,99.8098
2021-10-01,100.5951
2021-11-01,100.9977
2021-12-01,101.3267
2022-01-01,105.5072
2022-02-01,105.7513
2022-03-01,105.6626
2022-04-01,101.1362
2022-05-01,100.6149
2022-06-01,103.3649
2022-07-01,100.6758
2022-08-01,104.3871
2022-09-01,101.8341
2022-10-01,102.1292
2022-11-01,101.5558
2022-12-01,103.1422
2023-01-01,104.4928
2023-02-01,104.7923
2023-03-01,104.7996
2023-04-01,101.4203
2023-05-01,100.1718
2023-06-01,101.4925
2023-07-01,99.9741
2023-08-01,104.0985
2023-09-01,101.3833
2023-10-01,100.0950
2023-11-01,100.0234
